Point,x,y,rtsur,stsur,rtsub,stsub,coeff_n
E1,-10.5,31.4,5,50,5,40,0.02
E2,-6.8,19.4,5,50,5,40,0.02
E3,-2.1,13.1,5,70,5,50,0.02
E4,1.6,4.3,5,80,5,50,0.02
B1,-6.4,40,5,50,10,50,0.02
B2,-2.7,29,5,50,5,40,0.02
B3,3,22.7,5,50,5,40,0.02
B4,7.5,19,5,70,5,50,0.02
B5,5.4,3.3,5,80,5,50,0.02
A2,11.2,56,5,50,10,50,0.02
A3,16,41.6,5,50,5,40,0.02
A4,18.4,27.2,5,50,5,40,0.02
A5,16.8,18,5,70,5,50,0.02
C1,-13.1,20.8,5,80,5,50,0.02
C2,-7.6,9,5,50,10,50,0.02
C3,-1.9,2.9,5,50,5,40,0.02
C4,0.3,-1.3,5,50,5,40,0.02
D1,-25.1,-9.2,5,70,5,50,0.02
D2,-15.1,-11.9,5,80,5,50,0.02
D3,-8.5,-15.5,5,50,10,50,0.02
D4,-5.3,-22.9,5,50,10,50,0.02
