X	Y	surface	subsurface	Depth
-30	-2.5	2.950869291	2.469647606	0.481221685
-29.5	-2.5	3.086651557	2.587069623	0.499581934
-29	-2.5	3.212585391	2.696194781	0.51639061
-28.5	-2.5	3.334859742	2.801066519	0.533793223
-28	-2.5	3.448881775	2.898465897	0.550415878
-27.5	-2.5	3.554092266	2.988607658	0.565484608
-27	-2.5	3.649559183	3.071703115	0.577856068
-26.5	-2.5	3.736972312	3.150542598	0.586429714
-26	-2.5	3.808695758	3.220649236	0.588046522
-25.5	-2.5	3.866050295	3.286146152	0.579904143
-25	-2.5	3.907586307	3.347705416	0.559880891
-24.5	-2.5	3.931231031	3.402270807	0.528960224
-24	-2.5	3.937690617	3.445093887	0.49259673
-23.5	-2.5	3.924108897	3.465869383	0.458239515
-23	-2.5	3.89095198	3.457714637	0.433237343
-22.5	-2.5	3.834563796	3.413003216	0.42156058
-22	-2.5	3.755648866	3.334846058	0.420802808
-21.5	-2.5	3.652742324	3.225882071	0.426860253
-21	-2.5	3.529270289	3.092929236	0.436341053
-20.5	-2.5	3.38302812	2.938227329	0.444800791
-20	-2.5	3.224192203	2.775767735	0.448424468
-19.5	-2.5	3.056021851	2.611405265	0.444616586
-19	-2.5	2.877098415	2.44043715	0.436661266
-18.5	-2.5	2.688527306	2.261123554	0.427403753
-18	-2.5	2.483903441	2.064233625	0.419669816
-17.5	-2.5	2.265598678	1.850510156	0.415088522
-17	-2.5	2.038902616	1.629693202	0.409209414
-16.5	-2.5	1.810968818	1.410932644	0.400036174
-16	-2.5	1.586351301	1.199437151	0.38691415
-15.5	-2.5	1.376911402	0.989661697	0.387249705
-15	-2.5	1.195959738	0.773826642	0.422133095
-14.5	-2.5	1.026056506	0.568674162	0.457382344
-14	-2.5	0.863063161	0.378666072	0.484397089
-13.5	-2.5	0.707277138	0.204943064	0.502334074
-13	-2.5	0.558741605	0.047521999	0.511219606
-12.5	-2.5	0.420669082	-0.073095799	0.493764881
-12	-2.5	0.292214621	-0.163580762	0.455795383
-11.5	-2.5	0.169281582	-0.255424146	0.424705728
-11	-2.5	0.053092376	-0.349833636	0.402926013
-10.5	-2.5	-0.051071739	-0.42945768	0.37838594
-10	-2.5	-0.140921137	-0.484922223	0.344001086
-9.5	-2.5	-0.219791402	-0.527678284	0.307886882
-9	-2.5	-0.288029843	-0.568743312	0.280713468
-8.5	-2.5	-0.344894497	-0.615755576	0.270861079
-8	-2.5	-0.390759939	-0.668255105	0.277495166
-7.5	-2.5	-0.426154586	-0.720350055	0.294195469
-7	-2.5	-0.452384154	-0.763726331	0.311342177
-6.5	-2.5	-0.468838592	-0.794327154	0.325488562
-6	-2.5	-0.479516681	-0.816339717	0.336823035
-5.5	-2.5	-0.48485407	-0.831183373	0.346329303
-5	-2.5	-0.48698595	-0.840663031	0.353677081
-4.5	-2.5	-0.48729799	-0.843513875	0.356215885
